"filename", "language", "Dart", "comment", "blank", "total"
"/home/djamel/Developement/Flutter Apps/majalatek/lib/main.dart", "Dart", 26, 0, 3, 29
"/home/djamel/Developement/Flutter Apps/majalatek/lib/models/providers/providers_model.dart", "Dart", 83, 0, 5, 88
"/home/djamel/Developement/Flutter Apps/majalatek/lib/services/Language/data.dart", "Dart", 238, 0, 3, 241
"/home/djamel/Developement/Flutter Apps/majalatek/lib/services/Language/language_service.dart", "Dart", 18, 0, 2, 20
"/home/djamel/Developement/Flutter Apps/majalatek/lib/services/location_service.dart", "Dart", 64, 0, 7, 71
"/home/djamel/Developement/Flutter Apps/majalatek/lib/services/providers_service.dart", "Dart", 175, 22, 18, 215
"/home/djamel/Developement/Flutter Apps/majalatek/lib/services/storage_service.dart", "Dart", 30, 0, 6, 36
"/home/djamel/Developement/Flutter Apps/majalatek/lib/utils/constants.dart", "Dart", 2, 0, 2, 4
"/home/djamel/Developement/Flutter Apps/majalatek/lib/utils/distance_calculator.dart", "Dart", 9, 0, 2, 11
"/home/djamel/Developement/Flutter Apps/majalatek/lib/utils/textValidator/validator.dart", "Dart", 37, 8, 7, 52
"/home/djamel/Developement/Flutter Apps/majalatek/lib/utils/widget_convertor.dart", "Dart", 48, 0, 16, 64
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/bloc/Providers/providers_bloc.dart", "Dart", 28, 0, 3, 31
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/bloc/searchBloc/search_bloc.dart", "Dart", 18, 0, 6, 24
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/components/app_bar_icons.dart", "Dart", 38, 0, 3, 41
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/components/borderRoundedButton.dart", "Dart", 26, 0, 3, 29
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/components/contact_icon.dart", "Dart", 39, 0, 3, 42
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/components/contacts_widget.dart", "Dart", 162, 0, 6, 168
"/home/djamel/Developement/Flutter Apps/majalatek/lib/view/components/custom_text_field_widget.dart", "Dart", 70, 0, 3, 73
